episode,route_file,episode_reward,mean_loss,wall_time_s
0,single-intersection-vhvh.rou.xml,-1194.4600000000005,nan,6.899896860122681
1,single-intersection-horizontal.rou.xml,-1213.6099999999997,nan,6.639642715454102
2,single-intersection-vertical.rou.xml,-915.9000000000003,nan,6.282601356506348
3,single-intersection-vhvh.rou.xml,-762.4799999999998,nan,6.406863451004028
4,single-intersection-horizontal.rou.xml,-1755.7200000000007,nan,6.676905632019043
5,single-intersection-vertical.rou.xml,-2160.17,nan,7.222057819366455
6,single-intersection-vhvh.rou.xml,-2625.390000000001,nan,7.0792741775512695
7,single-intersection-horizontal.rou.xml,-535.63,nan,8.37209153175354
8,single-intersection-vertical.rou.xml,-1301.47,nan,7.871117830276489
9,single-intersection-vhvh.rou.xml,-2367.85,15.115310668945312,9.917839050292969
10,single-intersection-horizontal.rou.xml,-1821.9999999999998,10.822238392829895,13.065805912017822
11,single-intersection-vertical.rou.xml,-1025.7800000000002,7.367228217124939,10.327264547348022
12,single-intersection-vhvh.rou.xml,-1259.7300000000002,6.0266387867927556,8.048943281173706
13,single-intersection-horizontal.rou.xml,-1387.22,5.624969654083252,8.315423488616943
14,single-intersection-vertical.rou.xml,-2128.9000000000005,6.901120705604553,11.520306587219238
15,single-intersection-vhvh.rou.xml,-1441.9099999999999,5.934763338565826,9.264575481414795
16,single-intersection-horizontal.rou.xml,-3797.5799999999995,6.000440974235534,8.749725341796875
17,single-intersection-vertical.rou.xml,-2671.64,6.579620115756988,9.75747799873352
18,single-intersection-vhvh.rou.xml,-4044.0400000000004,8.226204409599305,9.702030897140503
19,single-intersection-horizontal.rou.xml,-9425.15,9.267326369285584,11.184396743774414
20,single-intersection-vertical.rou.xml,-1959.2200000000005,10.188780865669251,7.387603759765625
21,single-intersection-vhvh.rou.xml,-2220.140000000001,10.947310609817505,10.453338384628296
22,single-intersection-horizontal.rou.xml,-4762.590000000002,12.159644122123717,10.805132865905762
23,single-intersection-vertical.rou.xml,-1057.9900000000002,12.315703659057617,7.6030566692352295
24,single-intersection-vhvh.rou.xml,-1158.81,11.301027941703797,8.35399603843689
25,single-intersection-horizontal.rou.xml,-2549.7400000000007,10.71340943813324,9.328792095184326
26,single-intersection-vertical.rou.xml,-860.3600000000001,13.472227444648743,8.213832378387451
27,single-intersection-vhvh.rou.xml,-866.0899999999997,12.148314032554627,8.168304920196533
28,single-intersection-horizontal.rou.xml,-681.14,10.990577173233032,7.9797656536102295
29,single-intersection-vertical.rou.xml,-901.8599999999999,10.562734320163727,8.793312311172485
30,single-intersection-vhvh.rou.xml,-395.59999999999985,13.318967671394349,7.733322858810425
31,single-intersection-horizontal.rou.xml,-656.6,12.48238970041275,7.496756076812744
32,single-intersection-vertical.rou.xml,-1349.9899999999998,10.845054993629455,7.703664064407349
33,single-intersection-vhvh.rou.xml,-470.2500000000001,11.599171948432922,9.054697036743164
34,single-intersection-horizontal.rou.xml,-5711.719999999998,13.052654099464416,11.313393831253052
35,single-intersection-vertical.rou.xml,-1263.7600000000002,12.921487407684326,8.455331325531006
36,single-intersection-vhvh.rou.xml,-656.87,12.560255680084229,9.62114953994751
37,single-intersection-horizontal.rou.xml,-706.7700000000003,11.564953513145447,7.5445168018341064
38,single-intersection-vertical.rou.xml,-544.1499999999997,14.620593042373658,7.577556848526001
39,single-intersection-vhvh.rou.xml,-465.1700000000001,13.415249438285828,7.813742637634277
40,single-intersection-horizontal.rou.xml,-767.0300000000001,13.469276371002197,7.7151453495025635
41,single-intersection-vertical.rou.xml,-683.15,12.670430312156677,7.406739711761475
42,single-intersection-vhvh.rou.xml,-1497.3600000000001,15.066621136665344,7.742218494415283
43,single-intersection-horizontal.rou.xml,-955.8600000000001,14.389805097579956,8.480384349822998
44,single-intersection-vertical.rou.xml,-801.3900000000002,14.05199055671692,6.915055990219116
45,single-intersection-vhvh.rou.xml,-990.2199999999999,13.787266101837158,7.615407466888428
46,single-intersection-horizontal.rou.xml,-941.8099999999997,14.998635110855103,9.6325364112854
47,single-intersection-vertical.rou.xml,-468.7599999999998,14.196999120712281,8.171887159347534
48,single-intersection-vhvh.rou.xml,-629.5900000000001,14.49617175579071,7.20931077003479
49,single-intersection-horizontal.rou.xml,-953.1999999999998,14.872209796905517,7.363643407821655
50,single-intersection-vertical.rou.xml,-398.44999999999993,15.03018807888031,6.662467002868652
51,single-intersection-vhvh.rou.xml,-430.16999999999985,13.973087282180787,7.336071729660034
52,single-intersection-horizontal.rou.xml,-324.03,14.293174958229065,7.822436571121216
53,single-intersection-vertical.rou.xml,-295.6000000000002,13.37797498703003,7.985427379608154
54,single-intersection-vhvh.rou.xml,-475.09999999999985,15.305072202682496,8.529937028884888
55,single-intersection-horizontal.rou.xml,-317.47999999999996,14.257451558113098,7.925424814224243
56,single-intersection-vertical.rou.xml,-278.54000000000013,13.897488403320313,6.964148998260498
57,single-intersection-vhvh.rou.xml,-350.54999999999995,14.478017997741699,7.520921230316162
58,single-intersection-horizontal.rou.xml,-591.18,15.590850343704224,8.132967472076416
59,single-intersection-vertical.rou.xml,-385.6599999999999,14.804217925071717,7.901641607284546
60,single-intersection-vhvh.rou.xml,-462.82000000000016,14.947649040222167,8.274508476257324
61,single-intersection-horizontal.rou.xml,-411.7,13.984126958847046,7.86931300163269
62,single-intersection-vertical.rou.xml,-378.43,15.908669910430909,8.823031187057495
63,single-intersection-vhvh.rou.xml,-389.6299999999998,14.454315428733826,9.120917797088623
64,single-intersection-horizontal.rou.xml,-800.9200000000002,14.133443374633789,8.486343622207642
65,single-intersection-vertical.rou.xml,-274.02999999999986,15.149239139556885,7.466657638549805
66,single-intersection-vhvh.rou.xml,-296.46000000000015,14.228862743377686,8.251607179641724
67,single-intersection-horizontal.rou.xml,-649.8299999999999,14.280172386169433,8.017907619476318
68,single-intersection-vertical.rou.xml,-489.3099999999999,13.705764651298523,9.519042491912842
69,single-intersection-vhvh.rou.xml,-389.33999999999986,13.622842903137206,8.039471626281738
70,single-intersection-horizontal.rou.xml,-542.0099999999999,14.668120975494384,8.784514904022217
71,single-intersection-vertical.rou.xml,-301.31,14.891358213424683,7.75381326675415
72,single-intersection-vhvh.rou.xml,-339.47000000000014,14.28601571083069,7.922027826309204
73,single-intersection-horizontal.rou.xml,-636.48,13.667535991668702,9.663178443908691
74,single-intersection-vertical.rou.xml,-358.2800000000002,14.839776477813722,8.870060682296753
75,single-intersection-vhvh.rou.xml,-267.43,14.24143265247345,8.34866738319397
76,single-intersection-horizontal.rou.xml,-802.4900000000004,14.466373958587646,8.759368658065796
77,single-intersection-vertical.rou.xml,-329.37999999999994,13.933594188690186,8.47134804725647
78,single-intersection-vhvh.rou.xml,-378.36999999999995,13.866097021102906,8.618713140487671
79,single-intersection-horizontal.rou.xml,-599.48,13.62834503173828,7.838038444519043
80,single-intersection-vertical.rou.xml,-306.9899999999999,13.75292275428772,7.9085373878479
81,single-intersection-vhvh.rou.xml,-319.7200000000001,14.173116359710694,9.084274053573608
82,single-intersection-horizontal.rou.xml,-514.01,14.418735747337342,8.959940671920776
83,single-intersection-vertical.rou.xml,-322.4099999999999,14.29293909549713,8.044814109802246
84,single-intersection-vhvh.rou.xml,-399.79,13.589824395179749,7.729328632354736
85,single-intersection-horizontal.rou.xml,-571.2099999999999,13.799567909240723,7.620393753051758
86,single-intersection-vertical.rou.xml,-378.2899999999999,14.07040475845337,8.796072006225586
87,single-intersection-vhvh.rou.xml,-385.01,14.120217046737672,8.907143115997314
88,single-intersection-horizontal.rou.xml,-544.8399999999999,13.740818386077882,7.5461156368255615
89,single-intersection-vertical.rou.xml,-353.1000000000001,13.670455713272094,8.425019025802612
90,single-intersection-vhvh.rou.xml,-314.5399999999999,13.445907750129699,7.8881165981292725
91,single-intersection-horizontal.rou.xml,-604.79,13.499269561767578,8.512780666351318
92,single-intersection-vertical.rou.xml,-336.58999999999986,13.455664567947387,7.844482898712158
93,single-intersection-vhvh.rou.xml,-320.79,13.301228017807007,8.407066583633423
94,single-intersection-horizontal.rou.xml,-591.4200000000001,13.507009735107422,8.591663360595703
95,single-intersection-vertical.rou.xml,-337.90000000000003,13.210054492950439,8.160877704620361
96,single-intersection-vhvh.rou.xml,-395.71999999999997,13.55027654647827,8.073755741119385
97,single-intersection-horizontal.rou.xml,-511.63,12.86008424758911,7.549579381942749
98,single-intersection-vertical.rou.xml,-354.7299999999999,13.224033622741699,8.055671453475952
99,single-intersection-vhvh.rou.xml,-373.34,13.683061470985413,8.200287103652954
100,single-intersection-horizontal.rou.xml,-527.5199999999999,13.408939628601074,7.434419631958008
101,single-intersection-vertical.rou.xml,-336.64,12.70699417591095,8.323154211044312
102,single-intersection-vhvh.rou.xml,-310.47,13.306455135345459,7.876160144805908
103,single-intersection-horizontal.rou.xml,-508.1499999999998,13.016400570869445,7.477735757827759
104,single-intersection-vertical.rou.xml,-421.30999999999995,13.194320163726807,8.13478398323059
105,single-intersection-vhvh.rou.xml,-341.93000000000006,12.846668772697448,8.005954504013062
106,single-intersection-horizontal.rou.xml,-621.6099999999998,12.84172483921051,7.868349313735962
107,single-intersection-vertical.rou.xml,-502.52000000000004,13.270363216400147,8.446763753890991
108,single-intersection-vhvh.rou.xml,-350.0799999999999,12.429873647689819,8.019412279129028
109,single-intersection-horizontal.rou.xml,-581.2399999999999,12.326052179336548,7.639060974121094
110,single-intersection-vertical.rou.xml,-337.13000000000005,12.77269907951355,8.265864133834839
111,single-intersection-vhvh.rou.xml,-367.3099999999999,13.075311713218689,7.765910625457764
112,single-intersection-horizontal.rou.xml,-556.0599999999997,13.02950225353241,7.709863662719727
113,single-intersection-vertical.rou.xml,-319.53,13.194331407546997,7.576471328735352
114,single-intersection-vhvh.rou.xml,-269.4600000000002,12.377904133796692,7.604978322982788
115,single-intersection-horizontal.rou.xml,-487.78000000000014,11.217676782608033,7.713398218154907
116,single-intersection-vertical.rou.xml,-367.6200000000001,11.732462821006775,8.59824800491333
117,single-intersection-vhvh.rou.xml,-310.78999999999996,11.714860348701476,7.799074649810791
118,single-intersection-horizontal.rou.xml,-532.2299999999999,11.448502449989318,7.920722484588623
119,single-intersection-vertical.rou.xml,-406.29999999999995,11.558794989585877,8.285462141036987
120,single-intersection-vhvh.rou.xml,-322.31000000000006,11.85478753566742,7.971211194992065
121,single-intersection-horizontal.rou.xml,-510.46999999999997,11.406847128868103,7.329372406005859
122,single-intersection-vertical.rou.xml,-340.87,11.346064786911011,8.07326889038086
123,single-intersection-vhvh.rou.xml,-329.3899999999999,11.238671722412109,8.220388412475586
124,single-intersection-horizontal.rou.xml,-514.42,11.155074796676637,7.633743047714233
125,single-intersection-vertical.rou.xml,-331.57000000000005,10.654057202339173,7.7578489780426025
126,single-intersection-vhvh.rou.xml,-261.93000000000006,11.756689581871033,7.563236951828003
127,single-intersection-horizontal.rou.xml,-516.02,11.107493991851806,7.755470514297485
128,single-intersection-vertical.rou.xml,-346.61999999999995,11.122155375480652,8.125741243362427
129,single-intersection-vhvh.rou.xml,-299.24999999999983,11.305102648735046,7.749091863632202
130,single-intersection-horizontal.rou.xml,-517.77,10.673418192863464,7.524104356765747
131,single-intersection-vertical.rou.xml,-396.65,11.603416299819946,8.073765277862549
132,single-intersection-vhvh.rou.xml,-285.41,11.338854374885559,7.3049163818359375
133,single-intersection-horizontal.rou.xml,-577.6899999999999,11.156762714385986,8.255020380020142
134,single-intersection-vertical.rou.xml,-348.96999999999986,11.062363476753236,7.821479797363281
135,single-intersection-vhvh.rou.xml,-327.15,10.80142454624176,8.033248901367188
136,single-intersection-horizontal.rou.xml,-517.4399999999999,11.135722279548645,8.080901384353638
137,single-intersection-vertical.rou.xml,-428.2999999999999,10.234088258743286,8.527723789215088
138,single-intersection-vhvh.rou.xml,-354.33999999999986,10.86378945827484,7.426153898239136
139,single-intersection-horizontal.rou.xml,-390.8999999999999,10.918951258659362,7.477869749069214
140,single-intersection-vertical.rou.xml,-431.34,10.610337824821473,8.390420198440552
141,single-intersection-vhvh.rou.xml,-302.9100000000001,10.427671594619751,7.035267353057861
142,single-intersection-horizontal.rou.xml,-434.80999999999995,10.580659685134888,7.6872398853302
143,single-intersection-vertical.rou.xml,-356.2699999999999,11.300803022384644,8.021257162094116
144,single-intersection-vhvh.rou.xml,-265.25,10.765440726280213,7.1483824253082275
145,single-intersection-horizontal.rou.xml,-383.78000000000003,10.907246146202088,7.3640360832214355
146,single-intersection-vertical.rou.xml,-358.7300000000001,10.683654098510742,7.650639772415161
147,single-intersection-vhvh.rou.xml,-326.48999999999995,10.197431836128235,7.8852925300598145
148,single-intersection-horizontal.rou.xml,-437.26000000000016,9.161416473388671,7.232789039611816
149,single-intersection-vertical.rou.xml,-361.20000000000005,9.477915806770325,7.946315050125122
150,single-intersection-vhvh.rou.xml,-325.39,11.192669458389283,7.3440163135528564
151,single-intersection-horizontal.rou.xml,-337.70000000000005,10.536081171035766,7.034750699996948
152,single-intersection-vertical.rou.xml,-338.22999999999996,10.463321199417114,8.18660855293274
153,single-intersection-vhvh.rou.xml,-361.63999999999976,9.838358540534973,7.5001068115234375
154,single-intersection-horizontal.rou.xml,-359.40999999999997,10.090214452743531,6.915463209152222
155,single-intersection-vertical.rou.xml,-335.73999999999995,9.472918944358826,7.8792564868927
156,single-intersection-vhvh.rou.xml,-332.4699999999999,9.815619263648987,7.270119905471802
157,single-intersection-horizontal.rou.xml,-364.96999999999997,10.03918249130249,6.880012512207031
158,single-intersection-vertical.rou.xml,-358.52,9.91476016998291,8.252794981002808
